nom,contact,telephone,email,adresse
TechCorp Solutions,Marie Martin,0123456789,contact@techcorp.fr,123 avenue de la Technologie 92000 Nanterre
RepairPlus,Pierre Durand,0987654321,info@repairplus.fr,456 rue de la Réparation 69000 Lyon
FixIt Services,Sophie Moreau,0555123456,support@fixit.fr,789 boulevard des Services 13000 Marseille
QuickRepair,Paul Leroy,0666789012,hello@quickrepair.fr,321 rue de la Rapidité 31000 Toulouse
ElectroFix,Julie Bernard,0777345678,contact@electrofix.fr,654 avenue de l'Électronique 44000 Nantes
MobilePlus,Michel Petit,0888901234,service@mobileplus.fr,987 rue des Mobiles 67000 Strasbourg
ScreenMaster,Isabelle Robert,0999567890,info@screenmaster.fr,147 place de l'Écran 35000 Rennes
BatteryPro,Carlos Garcia,0111234567,support@batterypro.fr,258 rue des Batteries 59000 Lille
CameraCare,Sylvie Thomas,0222345678,contact@cameracare.fr,369 avenue des Appareils Photo 06000 Nice
AudioTech,Laurent Duval,0333456789,service@audiotech.fr,741 rue de l'Audio 21000 Dijon
